Faixa Etária;Total;Total;Total;Total;Total;Total;Total;Total;16 Anos;16 Anos;16 Anos;16 Anos;16 Anos;16 Anos;16 Anos;16 Anos;17 Anos;17 Anos;17 Anos;17 Anos;17 Anos;17 Anos;17 Anos;17 Anos;18 Anos;18 Anos;18 Anos;18 Anos;18 Anos;18 Anos;18 Anos;18 Anos;19 Anos;19 Anos;19 Anos;19 Anos;19 Anos;19 Anos;19 Anos;19 Anos;20 Anos;20 Anos;20 Anos;20 Anos;20 Anos;20 Anos;20 Anos;20 Anos;21a24 Anos;21a24 Anos;21a24 Anos;21a24 Anos;21a24 Anos;21a24 Anos;21a24 Anos;21a24 Anos;25a29 Anos;25a29 Anos;25a29 Anos;25a29 Anos;25a29 Anos;25a29 Anos;25a29 Anos;25a29 Anos;30a34 Anos;30a34 Anos;30a34 Anos;30a34 Anos;30a34 Anos;30a34 Anos;30a34 Anos;30a34 Anos;35a39 Anos;35a39 Anos;35a39 Anos;35a39 Anos;35a39 Anos;35a39 Anos;35a39 Anos;35a39 Anos;40a44 Anos;40a44 Anos;40a44 Anos;40a44 Anos;40a44 Anos;40a44 Anos;40a44 Anos;40a44 Anos;45a49 Anos;45a49 Anos;45a49 Anos;45a49 Anos;45a49 Anos;45a49 Anos;45a49 Anos;45a49 Anos;50a54 Anos;50a54 Anos;50a54 Anos;50a54 Anos;50a54 Anos;50a54 Anos;50a54 Anos;50a54 Anos;55a59 Anos;55a59 Anos;55a59 Anos;55a59 Anos;55a59 Anos;55a59 Anos;55a59 Anos;55a59 Anos;60a64 Anos;60a64 Anos;60a64 Anos;60a64 Anos;60a64 Anos;60a64 Anos;60a64 Anos;60a64 Anos;65a69 Anos;65a69 Anos;65a69 Anos;65a69 Anos;65a69 Anos;65a69 Anos;65a69 Anos;65a69 Anos;70a74 Anos;70a74 Anos;70a74 Anos;70a74 Anos;70a74 Anos;70a74 Anos;70a74 Anos;70a74 Anos;75a79 Anos;75a79 Anos;75a79 Anos;75a79 Anos;75a79 Anos;75a79 Anos;75a79 Anos;75a79 Anos;80a84 Anos;80a84 Anos;80a84 Anos;80a84 Anos;80a84 Anos;80a84 Anos;80a84 Anos;80a84 Anos;85a89 Anos;85a89 Anos;85a89 Anos;85a89 Anos;85a89 Anos;85a89 Anos;85a89 Anos;85a89 Anos;90a94 Anos;90a94 Anos;90a94 Anos;90a94 Anos;90a94 Anos;90a94 Anos;90a94 Anos;90a94 Anos;95a99 Anos;95a99 Anos;95a99 Anos;95a99 Anos;95a99 Anos;95a99 Anos;95a99 Anos;95a99 Anos;100 Anos;100 Anos;100 Anos;100 Anos;100 Anos;100 Anos;100 Anos;100 Anos;Inválida;Inválida;Inválida;Inválida;Inválida;Inválida;Inválida;Inválida
Sexo;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT;Masculino(M);%M/T;Feminino(F);%F/T;Não Informado(N);%N/T;Total(T);%T/TT
"ABAIARA";3.394;48,86;3.553;51,14;0;0,00;6.947;0,11;13;34,21;25;65,79;0;0,00;38;0,26;45;47,87;49;52,13;0;0,00;94;0,17;63;47,37;70;52,63;0;0,00;133;0,14;74;51,39;70;48,61;0;0,00;144;0,12;79;50,64;77;49,36;0;0,00;156;0,11;354;50,94;341;49,06;0;0,00;695;0,12;396;50,97;381;49,03;0;0,00;777;0,11;361;47,07;406;52,93;0;0,00;767;0,10;362;49,25;373;50,75;0;0,00;735;0,10;369;52,12;339;47,88;0;0,00;708;0,11;294;49,00;306;51,00;0;0,00;600;0,11;226;45,20;274;54,80;0;0,00;500;0,10;213;51,33;202;48,67;0;0,00;415;0,09;164;45,43;197;54,57;0;0,00;361;0,10;142;47,33;158;52,67;0;0,00;300;0,11;109;44,67;135;55,33;0;0,00;244;0,11;75;46,01;88;53,99;0;0,00;163;0,11;38;46,34;44;53,66;0;0,00;82;0,08;11;44,00;14;56,00;0;0,00;25;0,05;6;66,67;3;33,33;0;0,00;9;0,03;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;100,00;0;0,00;1;0,66
"ACARAPE";5.342;47,19;5.979;52,81;0;0,00;11.321;0,17;33;50,77;32;49,23;0;0,00;65;0,44;58;50,88;56;49,12;0;0,00;114;0,21;91;48,66;96;51,34;0;0,00;187;0,20;112;48,91;117;51,09;0;0,00;229;0,19;122;49,59;124;50,41;0;0,00;246;0,18;539;48,04;583;51,96;0;0,00;1.122;0,19;686;47,87;747;52,13;0;0,00;1.433;0,19;623;47,70;683;52,30;0;0,00;1.306;0,18;579;48,98;603;51,02;0;0,00;1.182;0,17;476;45,16;578;54,84;0;0,00;1.054;0,17;454;49,13;470;50,87;0;0,00;924;0,17;398;44,42;498;55,58;0;0,00;896;0,17;365;46,73;416;53,27;0;0,00;781;0,17;271;45,09;330;54,91;0;0,00;601;0,17;196;47,00;221;53,00;0;0,00;417;0,15;146;47,56;161;52,44;0;0,00;307;0,14;77;44,51;96;55,49;0;0,00;173;0,12;75;46,01;88;53,99;0;0,00;163;0,16;29;34,12;56;65,88;0;0,00;85;0,17;10;32,26;21;67,74;0;0,00;31;0,10;2;40,00;3;60,00;0;0,00;5;0,03;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
"ACARAÚ";20.354;47,14;22.824;52,86;0;0,00;43.178;0,66;80;46,24;93;53,76;0;0,00;173;1,16;298;47,68;327;52,32;0;0,00;625;1,13;352;47,96;382;52,04;0;0,00;734;0,80;385;45,83;455;54,17;0;0,00;840;0,71;480;48,44;511;51,56;0;0,00;991;0,71;2.105;47,45;2.331;52,55;0;0,00;4.436;0,74;2.358;46,45;2.718;53,55;0;0,00;5.076;0,69;2.376;47,22;2.656;52,78;0;0,00;5.032;0,68;2.276;47,77;2.488;52,23;0;0,00;4.764;0,67;1.952;46,92;2.208;53,08;0;0,00;4.160;0,66;1.631;45,80;1.930;54,20;0;0,00;3.561;0,65;1.428;47,07;1.606;52,93;0;0,00;3.034;0,59;1.264;46,71;1.442;53,29;0;0,00;2.706;0,58;946;47,32;1.053;52,68;0;0,00;1.999;0,57;889;50,03;888;49,97;0;0,00;1.777;0,63;682;48,10;736;51,90;0;0,00;1.418;0,63;429;47,88;467;52,12;0;0,00;896;0,62;259;44,66;321;55,34;0;0,00;580;0,56;115;43,89;147;56,11;0;0,00;262;0,51;37;44,05;47;55,95;0;0,00;84;0,27;9;37,50;15;62,50;0;0,00;24;0,15;2;40,00;3;60,00;0;0,00;5;0,18;1;100,00;0;0,00;0;0,00;1;0,66
"ACOPIARA";18.747;48,44;19.950;51,55;2;0,01;38.699;0,59;54;49,09;56;50,91;0;0,00;110;0,74;183;49,59;186;50,41;0;0,00;369;0,67;244;46,21;284;53,79;0;0,00;528;0,58;304;46,41;351;53,59;0;0,00;655;0,55;396;51,70;370;48,30;0;0,00;766;0,55;1.578;50,03;1.576;49,97;0;0,00;3.154;0,52;1.783;48,66;1.881;51,34;0;0,00;3.664;0,50;1.938;47,92;2.106;52,08;0;0,00;4.044;0,55;1.830;48,58;1.937;51,42;0;0,00;3.767;0,53;1.748;49,21;1.804;50,79;0;0,00;3.552;0,56;1.472;47,90;1.601;52,10;0;0,00;3.073;0,56;1.479;48,65;1.561;51,35;0;0,00;3.040;0,59;1.364;47,21;1.525;52,79;0;0,00;2.889;0,62;1.169;48,25;1.254;51,75;0;0,00;2.423;0,69;920;46,14;1.074;53,86;0;0,00;1.994;0,70;826;47,61;909;52,39;0;0,00;1.735;0,78;650;49,92;651;50,00;1;0,08;1.302;0,90;478;47,90;520;52,10;0;0,00;998;0,97;202;48,67;212;51,08;1;0,24;415;0,82;79;53,38;69;46,62;0;0,00;148;0,47;29;64,44;16;35,56;0;0,00;45;0,28;21;75,00;7;25,00;0;0,00;28;1,01;0;0,00;0;0,00;0;0,00;0;0,00
"AIUABA";5.683;49,19;5.869;50,81;0;0,00;11.552;0,18;10;50,00;10;50,00;0;0,00;20;0,13;62;43,36;81;56,64;0;0,00;143;0,26;91;47,40;101;52,60;0;0,00;192;0,21;136;51,91;126;48,09;0;0,00;262;0,22;129;50,39;127;49,61;0;0,00;256;0,18;526;53,95;449;46,05;0;0,00;975;0,16;591;49,29;608;50,71;0;0,00;1.199;0,16;563;48,16;606;51,84;0;0,00;1.169;0,16;526;49,39;539;50,61;0;0,00;1.065;0,15;511;49,18;528;50,82;0;0,00;1.039;0,17;433;48,71;456;51,29;0;0,00;889;0,16;442;48,31;473;51,69;0;0,00;915;0,18;391;50,13;389;49,87;0;0,00;780;0,17;317;47,60;349;52,40;0;0,00;666;0,19;269;49,27;277;50,73;0;0,00;546;0,19;237;48,07;256;51,93;0;0,00;493;0,22;177;47,20;198;52,80;0;0,00;375;0,26;146;49,83;147;50,17;0;0,00;293;0,28;69;45,10;84;54,90;0;0,00;153;0,30;34;42,50;46;57,50;0;0,00;80;0,26;19;57,58;14;42,42;0;0,00;33;0,21;4;44,44;5;55,56;0;0,00;9;0,33;0;0,00;0;0,00;0;0,00;0;0,00
"ALCÂNTARAS";4.323;47,91;4.700;52,09;0;0,00;9.023;0,14;20;58,82;14;41,18;0;0,00;34;0,23;38;49,35;39;50,65;0;0,00;77;0,14;70;51,47;66;48,53;0;0,00;136;0,15;87;52,73;78;47,27;0;0,00;165;0,14;120;56,34;93;43,66;0;0,00;213;0,15;484;50,89;467;49,11;0;0,00;951;0,16;519;48,32;555;51,68;0;0,00;1.074;0,15;469;46,16;547;53,84;0;0,00;1.016;0,14;434;46,02;509;53,98;0;0,00;943;0,13;398;48,13;429;51,87;0;0,00;827;0,13;321;49,16;332;50,84;0;0,00;653;0,12;329;47,20;368;52,80;0;0,00;697;0,14;287;45,85;339;54,15;0;0,00;626;0,13;228;48,93;238;51,07;0;0,00;466;0,13;178;46,97;201;53,03;0;0,00;379;0,13;122;44,36;153;55,64;0;0,00;275;0,12;93;46,50;107;53,50;0;0,00;200;0,14;73;42,44;99;57,56;0;0,00;172;0,17;30;38,96;47;61,04;0;0,00;77;0,15;20;60,61;13;39,39;0;0,00;33;0,11;2;25,00;6;75,00;0;0,00;8;0,05;1;100,00;0;0,00;0;0,00;1;0,04;0;0,00;0;0,00;0;0,00;0;0,00
"ALTANEIRA";2.786;48,26;2.987;51,74;0;0,00;5.773;0,09;6;50,00;6;50,00;0;0,00;12;0,08;39;48,15;42;51,85;0;0,00;81;0,15;42;53,85;36;46,15;0;0,00;78;0,09;53;44,92;65;55,08;0;0,00;118;0,10;78;56,52;60;43,48;0;0,00;138;0,10;326;52,50;295;47,50;0;0,00;621;0,10;322;47,99;349;52,01;0;0,00;671;0,09;250;45,87;295;54,13;0;0,00;545;0,07;266;47,33;296;52,67;0;0,00;562;0,08;282;49,39;289;50,61;0;0,00;571;0,09;221;48,04;239;51,96;0;0,00;460;0,08;211;48,39;225;51,61;0;0,00;436;0,08;174;46,90;197;53,10;0;0,00;371;0,08;121;43,68;156;56,32;0;0,00;277;0,08;122;43,88;156;56,12;0;0,00;278;0,10;118;47,20;132;52,80;0;0,00;250;0,11;78;48,75;82;51,25;0;0,00;160;0,11;52;54,74;43;45,26;0;0,00;95;0,09;20;48,78;21;51,22;0;0,00;41;0,08;4;66,67;2;33,33;0;0,00;6;0,02;1;100,00;0;0,00;0;0,00;1;0,01;0;0,00;1;100,00;0;0,00;1;0,04;0;0,00;0;0,00;0;0,00;0;0,00
"ALTO SANTO";6.222;49,43;6.365;50,57;0;0,00;12.587;0,19;35;52,24;32;47,76;0;0,00;67;0,45;80;53,33;70;46,67;0;0,00;150;0,27;120;51,95;111;48,05;0;0,00;231;0,25;101;46,76;115;53,24;0;0,00;216;0,18;107;47,35;119;52,65;0;0,00;226;0,16;567;54,78;468;45,22;0;0,00;1.035;0,17;602;48,12;649;51,88;0;0,00;1.251;0,17;649;48,47;690;51,53;0;0,00;1.339;0,18;682;49,74;689;50,26;0;0,00;1.371;0,19;537;47,65;590;52,35;0;0,00;1.127;0,18;477;50,42;469;49,58;0;0,00;946;0,17;482;49,59;490;50,41;0;0,00;972;0,19;484;49,04;503;50,96;0;0,00;987;0,21;365;49,26;376;50,74;0;0,00;741;0,21;316;52,49;286;47,51;0;0,00;602;0,21;232;48,74;244;51,26;0;0,00;476;0,21;152;46,91;172;53,09;0;0,00;324;0,22;115;44,75;142;55,25;0;0,00;257;0,25;54;39,71;82;60,29;0;0,00;136;0,27;43;50,59;42;49,41;0;0,00;85;0,27;14;43,75;18;56,25;0;0,00;32;0,20;8;50,00;8;50,00;0;0,00;16;0,58;0;0,00;0;0,00;0;0,00;0;0,00
"AMONTADA";15.946;50,28;15.770;49,72;0;0,00;31.716;0,48;98;52,69;88;47,31;0;0,00;186;1,25;209;55,59;167;44,41;0;0,00;376;0,68;229;47,71;251;52,29;0;0,00;480;0,52;298;46,49;343;53,51;0;0,00;641;0,54;410;48,52;435;51,48;0;0,00;845;0,61;1.736;49,73;1.755;50,27;0;0,00;3.491;0,58;2.147;50,79;2.080;49,21;0;0,00;4.227;0,57;1.878;49,07;1.949;50,93;0;0,00;3.827;0,52;1.734;50,50;1.700;49,50;0;0,00;3.434;0,49;1.450;50,59;1.416;49,41;0;0,00;2.866;0,46;1.238;51,14;1.183;48,86;0;0,00;2.421;0,44;1.121;49,67;1.136;50,33;0;0,00;2.257;0,44;1.019;51,49;960;48,51;0;0,00;1.979;0,43;689;49,21;711;50,79;0;0,00;1.400;0,40;611;50,16;607;49,84;0;0,00;1.218;0,43;482;50,68;469;49,32;0;0,00;951;0,43;299;51,82;278;48,18;0;0,00;577;0,40;185;52,41;168;47,59;0;0,00;353;0,34;84;60,00;56;40,00;0;0,00;140;0,27;24;64,86;13;35,14;0;0,00;37;0,12;4;57,14;3;42,86;0;0,00;7;0,04;0;0,00;2;100,00;0;0,00;2;0,07;1;100,00;0;0,00;0;0,00;1;0,66
