Município;Cargo;Número;Nome do Candidato;Nome para Urna;Votos Computados;% Votos Computados;Destinação de Votos;Situação da Totalização;Partido;Partido/Coligação
"ABAIARA";"Prefeito            ";"13";"AFONSO TAVARES LEITE";"AFONSO TAVARES";3.149;54,93;"Válido";"Eleito";"PT";"PT / PSDB"
"ABAIARA";"Vice-Prefeito       ";"13";"ANGELO FURTADO SAMPAIO";"ANGIM"; ; ;" ";"Eleito";"PT";"PT / PSDB"
"ABAIARA";"Prefeito            ";"15";"PEDRO MARCOS BEZERRA MOREIRA";"PEDRO MARCOS";2.584;45,07;"Válido";"Não eleito";"MDB";"PSL / PTB / PSD / MDB"
"ABAIARA";"Vice-Prefeito       ";"15";"CYNTIA NUNES TAVARES";"DRA CYNTIA"; ; ;" ";"Não eleito";"PSD";"PSL / PTB / PSD / MDB"
"ABAIARA";"Vereador            ";"55555";"FRANCISCO LIVINO DINIZ";"FRANCISCO DE TINDÔ";624;10,81;"Válido";"Eleito por QP";"PSD";"PSD"
"ABAIARA";"Vereador            ";"55678";"GERALDO GISLASIO SAMPAIO";"BILÚ";442;7,66;"Válido";"Eleito por QP";"PSD";"PSD"
"ABAIARA";"Vereador            ";"13114";"RICARDO LEITE DE FIGUEIREDO";"RICARDO LEITE";389;6,74;"Válido";"Eleito por QP";"PT";"PT"
"ABAIARA";"Vereador            ";"13456";"ARNALDO TAVARES GRANGEIRO";"ARNALDO DA BAIXA DANTAS";383;6,64;"Válido";"Eleito por QP";"PT";"PT"
"ABAIARA";"Vereador            ";"13333";"MANOEL LUIZ ALVES FILHO";"MANOEL ALVES";368;6,38;"Válido";"Eleito por QP";"PT";"PT"
"ABAIARA";"Vereador            ";"55456";"JOSÉ TAVARES DE LUCENA";"DEDA JÓ";365;6,32;"Válido";"Eleito por média";"PSD";"PSD"
"ABAIARA";"Vereador            ";"13123";"FRANCISCO ELISEU MOREIRA FILHO";"LULU";297;5,15;"Válido";"Eleito por QP";"PT";"PT"
"ABAIARA";"Vereador            ";"13777";"ISMAEL CALDAS GRANGEIRO";"ISMAEL GRANGEIRO";290;5,02;"Válido";"Eleito por média";"PT";"PT"
"ABAIARA";"Vereador            ";"13555";"MARCELO ALVES DA SILVA";"MARCELO ALVES";261;4,52;"Válido";"Suplente";"PT";"PT"
"ABAIARA";"Vereador            ";"15999";"MARIA HELENA SAMPAIO DA SILVA";"DRA MARA SAMPAIO";229;3,97;"Válido";"Eleito por QP";"MDB";"MDB"
"ABAIARA";"Vereador            ";"13000";"CLAUDIANE PEREIRA MARIANO";"CLAUDIANE";211;3,66;"Válido";"Suplente";"PT";"PT"
